iter	Passed	Remaining
754	19694	6391
755	19718	6364
756	19748	6339
757	19768	6311
758	19791	6284
759	19811	6256
760	19837	6230
761	19869	6205
762	19893	6179
763	19924	6154
764	19946	6127
765	19965	6099
766	19994	6074
767	20012	6045
768	20036	6018
769	20047	5988
770	20069	5960
771	20090	5933
772	20110	5905
773	20136	5879
774	20155	5851
775	20173	5823
776	20197	5796
777	20215	5768
778	20239	5741
779	20254	5712
780	20276	5685
781	20297	5658
782	20323	5632
783	20350	5606
784	20374	5580
785	20400	5554
786	20419	5526
787	20442	5499
788	20463	5472
789	20483	5444
790	20506	5418
791	20527	5391
792	20548	5363
793	20569	5336
794	20595	5310
795	20614	5283
796	20635	5256
797	20661	5230
798	20680	5202
799	20698	5174
800	20718	5147
801	20739	5120
802	20760	5093
803	20787	5067
804	20809	5040
805	20836	5015
806	20856	4988
807	20877	4960
808	20900	4934
809	20919	4907
810	20937	4879
811	20957	4852
812	20981	4826
813	20999	4798
814	21019	4771
815	21054	4747
816	21075	4720
817	21100	4694
818	21120	4667
819	21141	4640
820	21165	4614
821	21187	4588
822	21210	4561
823	21234	4535
824	21256	4508
825	21278	4482
826	21301	4456
827	21324	4429
828	21343	4402
829	21365	4376
830	21383	4348
831	21403	4321
832	21421	4294
833	21444	4268
834	21470	4242
835	21504	4218
836	21521	4191
837	21543	4164
838	21569	4139
839	21592	4112
840	21613	4086
841	21635	4059
842	21655	4033
843	21674	4006
844	21700	3980
845	21719	3953
846	21753	3929
847	21779	3903
848	21796	3876
849	21817	3850
850	21841	3824
851	21864	3798
852	21892	3772
853	21914	3746
854	21938	3720
855	21960	3694
856	21989	3669
857	22012	3643
858	22030	3616
859	22056	3590
860	22079	3564
861	22101	3538
862	22122	3511
863	22140	3485
864	22160	3458
865	22182	3432
866	22204	3406
867	22225	3379
868	22244	3353
869	22271	3327
870	22289	3301
871	22312	3275
872	22335	3249
873	22361	3223
874	22392	3198
875	22433	3175
876	22461	3150
877	22485	3124
878	22505	3098
879	22522	3071
880	22543	3045
881	22570	3019
882	22592	2993
883	22616	2967
884	22638	2941
885	22672	2917
886	22698	2891
887	22720	2865
888	22741	2839
889	22760	2813
890	22782	2787
891	22803	2761
892	22824	2734
893	22854	2709
894	22878	2684
895	22899	2657
896	22925	2632
897	22946	2606
898	22973	2580
899	22994	2554
900	23018	2529
901	23039	2503
902	23066	2477
903	23088	2451
904	23113	2426
905	23133	2400
906	23158	2374
907	23178	2348
908	23200	2322
909	23226	2297
910	23246	2271
911	23267	2245
912	23292	2219
913	23311	2193
914	23332	2167
915	23352	2141
916	23371	2115
917	23394	2089
918	23418	2064
919	23440	2038
920	23461	2012
921	23482	1986
922	23500	1960
923	23519	1934
924	23540	1908
925	23557	1882
926	23575	1856
927	23591	1830
928	23610	1804
929	23633	1778
930	23648	1752
931	23664	1726
932	23679	1700
933	23694	1674
934	23708	1648
935	23723	1622
936	23738	1596
937	23755	1570
938	23770	1544
939	23785	1518
940	23801	1492
941	23816	1466
942	23833	1440
943	23850	1414
944	23866	1389
945	23881	1363
946	23894	1337
947	23912	1311
948	23922	1285
949	23938	1259
950	23954	1234
951	23971	1208
952	23991	1183
953	24011	1157
954	24025	1132
955	24037	1106
956	24053	1080
957	24069	1055
958	24084	1029
959	24102	1004
960	24112	978
961	24128	953
962	24140	927
963	24155	902
964	24170	876
965	24184	851
966	24198	825
967	24209	800
968	24223	774
969	24236	749
970	24251	724
971	24266	699
972	24281	673
973	24296	648
974	24311	623
975	24325	598
976	24342	573
977	24357	547
978	24370	522
979	24385	497
980	24400	472
981	24416	447
982	24432	422
983	24444	397
984	24466	372
985	24478	347
986	24490	322
987	24502	297
988	24513	272
989	24523	247
990	24531	222
991	24539	197
992	24548	173
993	24558	148
994	24566	123
995	24575	98
996	24583	73
997	24591	49
998	24600	24
999	24609	0
